SOS Account Name,Hospital,Street,City,State,Country,Zip,Component Tray,Serial Number,Crate Accessories,Group,Crate and Notes,GMG Primary,Contact Information
Marion General,Marion General Hospital,441 N Wabash Ave,Marion,IN,USA,46952,,D31R016007,,Mobile LT-4000,TS to Marion IN (5/17),,
Ocean Medical (75d),Ocean Health System,425 Jack Martin Blvd,Brick,NJ,USA,08724,,,,Loaner location,Installed device loaned to Concord Health System (12/15),Alice,"Dock Hours: 6:00AM - 3:00PM, John McAllen 732-840-2200"
Mercy Medical,Mercy Medical Center,500 E Market St,Iowa City,IA,USA,52245,,H47F021010,,Mobile PT-3000,TS to Iowa City IA (3/12),,
Grand Strand (30d),Grand Strand Health,809 82nd Pkwy,Myrtle Beach,SC,USA,29572,,,,Loaner location,Installed device loaned to Mercy Health System (11/22),Tom,"Dock Hours: 8:00AM - 5:00PM, Susan Martino 843-692-1000"
Centennial Hills,Centennial Hills Hospital,6900 N Durango Dr,Las Vegas,NV,USA,89149,,J52D023015,,Mobile XT-5000,TS to Las Vegas NV (6/20),,
St Joseph's (60d),St. Joseph's Health,1100 W Stewart Dr,Orange,CA,USA,92868,,,,Loaner location,Installed device loaned to Centennial Health System (7/09),Jane,"Dock Hours: 7:00AM - 4:00PM, James Thomas 714-771-8000"
Clinique Des Cedres,Les Cedres Clinic,24 Rue du Docteur Baylac,Toulouse,Occitanie,France,31000,,F20J202002,,Mobile HT-2000,Paris to Toulouse (6/10),Pierre,"Dock Contact: Jacques, +33 5 6148 7001, Hours: 9:00am to 5:00pm"
Mediclinic Durbanville,Mediclinic Durbanville,45 Wellington Rd,Durbanville,Western Cape,South Africa,7550,,Z23S022015,,Installed HT-2000,Stellenbosch to Durbanville (8/24),Sipho,"Contact: Dr. Botha, +27 21 980 2100, Hours: 8:00am to 4:00pm"
John Radcliffe Hospital,John Radcliffe Hospital,Headley Way,Headington,Oxford,UK,OX3 9DU,,U17L042010,,Mobile HT-2000,St Thomas' to John Radcliffe (9/19),James,"Contact: Dr. Robert Smith, +44 1865 741166, Hours: 7:30am to 3:30pm"
Hospital Italiano Buenos Aires,Hospital Italiano Buenos Aires,Gascón 450,Almagro,Buenos Aires,Argentina,C1181ACH,,A22M182003,,Installed HT-2000,Rosario to Buenos Aires (10/20),Carlos,"Dock Contact: Rodrigo, +54 11 4959 0200, Hours: 8:00am to 4:00pm"
Jaslok Hospital,Jaslok Hospital,15 Pedder Rd,Cumballa Hill,Mumbai,India,400026,,I19F072014,,Mobile HT-2000,Delhi to Mumbai (11/29), Ravi, "Contact: Dr. Patel, +91 22 6657 3333, Hours: 9:00am to 5:00pm"
St Vincent's Hospital,St Vincent's Hospital,Victoria St,Darlinghurst,NSW,Australia,2010,,A24V052001,,Installed HT-2000,Melbourne to Sydney (12/08),Ian,"Dock Contact: Dave, +61 2 8382 1111, Hours: 8:00am to 4:00pm"
